Div,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
ARG,1213,08/12/2012,22:15,Belgrano,Estudiantes L.P.,1.0,0.0,H,2.38,2.99,3.07
ARG,1213,09/12/2012,00:30,Lanus,San Lorenzo,0.0,0.0,D,2.06,3.07,3.7
ARG,1213,09/12/2012,20:00,Independiente,Colon Santa FE,2.0,2.0,D,2.36,3.04,3.05
ARG,1213,09/12/2012,20:00,San Martin S.J.,River Plate,0.0,2.0,A,3.0,3.04,2.39
ARG,1213,03/02/2013,21:00,Independiente,Tigre,1.0,1.0,D,2.1,3.15,3.49
ARG,1213,08/02/2013,22:10,Union de Santa Fe,Arsenal Sarandi,1.0,1.0,D,3.04,2.98,2.4
ARG,1213,09/02/2013,00:15,Argentinos Jrs,Velez Sarsfield,0.0,1.0,A,3.83,3.2,1.98
ARG,1213,09/02/2013,20:00,All Boys,Godoy Cruz,1.0,1.0,D,2.27,3.03,3.23
ARG,1213,09/02/2013,20:00,Estudiantes L.P.,Tigre,1.0,3.0,A,2.01,3.17,3.71
ARG,1213,09/02/2013,22:15,Boca Juniors,Quilmes,3.0,2.0,H,1.65,3.43,5.46
ARG,1213,10/02/2013,00:30,San Martin S.J.,San Lorenzo,0.0,0.0,D,2.87,2.96,2.54
ARG,1213,10/02/2013,21:00,Atl. Rafaela,Racing Club,3.0,0.0,H,3.04,3.01,2.38
ARG,1213,10/02/2013,21:00,Independiente,Newells Old Boys,1.0,3.0,A,2.67,3.01,2.66
ARG,1213,10/02/2013,23:15,Belgrano,River Plate,1.0,2.0,A,2.82,2.96,2.58
ARG,1213,11/02/2013,23:15,Lanus,Colon Santa FE,4.0,0.0,H,1.99,3.12,3.91
ARG,1213,13/02/2013,22:10,Quilmes,Tigre,0.0,0.0,D,2.46,3.07,2.86
ARG,1213,16/02/2013,00:15,Racing Club,Argentinos Jrs,2.0,0.0,H,1.78,3.3,4.66
ARG,1213,16/02/2013,20:00,Godoy Cruz,Union de Santa Fe,2.0,1.0,H,1.84,3.24,4.4
ARG,1213,16/02/2013,20:00,San Lorenzo,Belgrano,0.0,0.0,D,2.08,3.08,3.62
ARG,1213,16/02/2013,22:15,Colon Santa FE,San Martin S.J.,1.0,1.0,D,1.83,3.31,4.32
ARG,1213,16/02/2013,23:15,Velez Sarsfield,Independiente,0.0,1.0,A,1.67,3.47,5.22
ARG,1213,17/02/2013,20:00,Tigre,Boca Juniors,0.0,0.0,D,2.46,3.1,2.83
ARG,1213,17/02/2013,20:10,Quilmes,All Boys,2.0,1.0,H,2.22,3.08,3.25
ARG,1213,17/02/2013,21:00,Newells Old Boys,Lanus,0.0,3.0,A,2.58,2.94,2.84
ARG,1213,17/02/2013,23:15,River Plate,Estudiantes L.P.,1.0,0.0,H,1.91,3.18,4.1
ARG,1213,18/02/2013,22:10,Arsenal Sarandi,Atl. Rafaela,0.0,0.0,D,2.12,3.09,3.48
ARG,1213,22/02/2013,22:10,Argentinos Jrs,Arsenal Sarandi,1.0,2.0,A,2.78,2.98,2.59
ARG,1213,23/02/2013,00:15,Estudiantes L.P.,San Lorenzo,1.0,1.0,D,2.3,2.98,3.19
ARG,1213,23/02/2013,20:00,Union de Santa Fe,Quilmes,0.0,3.0,A,2.47,3.05,2.85
ARG,1213,23/02/2013,22:15,All Boys,Boca Juniors,2.0,0.0,H,3.1,3.02,2.32
ARG,1213,23/02/2013,23:15,Lanus,Velez Sarsfield,1.0,0.0,H,1.95,3.2,3.93
ARG,1213,24/02/2013,20:00,Atl. Rafaela,Godoy Cruz,1.0,2.0,A,2.14,3.13,3.38
ARG,1213,24/02/2013,20:00,Independiente,Racing Club,2.0,0.0,H,2.58,2.98,2.78
ARG,1213,24/02/2013,21:00,Belgrano,Colon Santa FE,2.0,1.0,H,2.19,3.04,3.34
ARG,1213,24/02/2013,23:15,River Plate,Tigre,3.0,2.0,H,1.67,3.51,5.13
ARG,1213,26/02/2013,01:15,San Martin S.J.,Newells Old Boys,1.0,1.0,D,2.87,2.98,2.51
ARG,1213,01/03/2013,22:10,Quilmes,Atl. Rafaela,3.0,3.0,D,2.11,3.15,3.45
