Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA
POL,27/04/2013,12:30,Polonia Warszawa,GKS Belchatow,0.0,1.0,A,1.8,3.37,4.44
POL,27/04/2013,14:45,Lechia Gdansk,Podbeskidzie,1.0,2.0,A,2.14,3.2,3.35
POL,27/04/2013,17:00,Piast Gliwice,Legia,0.0,0.0,D,4.71,3.57,1.71
POL,28/04/2013,13:30,Zaglebie,Slask Wroclaw,4.0,0.0,H,2.55,3.12,2.72
POL,28/04/2013,16:00,Gornik Z.,Ruch,2.0,0.0,H,2.2,3.17,3.26
POL,29/04/2013,17:30,Jagiellonia,Lech Poznan,0.0,1.0,A,3.92,3.34,1.91
POL,03/05/2013,17:00,Podbeskidzie,Zaglebie,1.0,1.0,D,2.65,3.11,2.64
POL,03/05/2013,19:45,Korona Kielce,Polonia Warszawa,1.0,1.0,D,1.94,3.3,3.88
POL,04/05/2013,12:30,Widzew Lodz,Jagiellonia,3.0,0.0,H,2.46,3.12,2.83
POL,04/05/2013,14:45,GKS Belchatow,Gornik Z.,2.0,0.0,H,3.07,3.1,2.33
POL,04/05/2013,17:00,Lech Poznan,Wisla,1.0,0.0,H,1.53,3.76,6.46
POL,05/05/2013,13:30,Legia,Lechia Gdansk,1.0,0.0,H,1.36,4.42,8.69
POL,05/05/2013,16:00,Slask Wroclaw,Pogon Szczecin,1.0,0.0,H,1.76,3.45,4.55
POL,06/05/2013,17:30,Ruch,Piast Gliwice,1.0,2.0,A,2.13,3.21,3.37
POL,10/05/2013,17:00,Polonia Warszawa,Podbeskidzie,2.0,1.0,H,2.85,3.15,2.46
POL,10/05/2013,19:45,Lech Poznan,Widzew Lodz,4.0,0.0,H,1.36,4.34,9.08
POL,11/05/2013,12:30,Pogon Szczecin,GKS Belchatow,0.0,1.0,A,2.2,3.1,3.33
POL,11/05/2013,14:45,Wisla,Korona Kielce,3.0,0.0,H,2.01,3.17,3.77
POL,11/05/2013,17:00,Jagiellonia,Legia,0.0,3.0,A,5.07,3.46,1.7
POL,12/05/2013,13:30,Piast Gliwice,Slask Wroclaw,3.0,2.0,H,2.43,3.09,2.91
POL,12/05/2013,16:00,Lechia Gdansk,Ruch,4.0,4.0,D,2.26,3.05,3.23
POL,13/05/2013,17:30,Zaglebie,Gornik Z.,1.0,2.0,A,1.95,3.25,3.87
POL,17/05/2013,17:00,Ruch,Pogon Szczecin,2.0,3.0,A,1.96,3.28,3.81
POL,17/05/2013,19:45,Slask Wroclaw,Wisla,3.0,0.0,H,2.03,3.23,3.65
POL,18/05/2013,12:30,Legia,Lech Poznan,1.0,0.0,H,2.14,3.16,3.42
POL,18/05/2013,14:45,Podbeskidzie,Piast Gliwice,1.0,2.0,A,2.53,3.14,2.76
POL,18/05/2013,17:00,Gornik Z.,Polonia Warszawa,0.0,4.0,A,1.85,3.31,4.27
POL,19/05/2013,13:30,GKS Belchatow,Zaglebie,3.0,2.0,H,2.64,3.09,2.66
POL,19/05/2013,16:00,Korona Kielce,Jagiellonia,5.0,0.0,H,1.91,3.27,4.02
POL,20/05/2013,17:30,Widzew Lodz,Lechia Gdansk,1.0,2.0,A,2.32,3.03,3.15
POL,23/05/2013,19:45,Piast Gliwice,Korona Kielce,1.0,1.0,D,2.0,3.19,3.84
POL,24/05/2013,17:00,Wisla,Ruch,1.0,1.0,D,2.04,3.29,3.51
POL,24/05/2013,19:45,Widzew Lodz,Legia,1.0,1.0,D,6.44,3.71,1.54
POL,25/05/2013,12:30,Lechia Gdansk,GKS Belchatow,1.0,1.0,D,2.36,3.12,2.98
POL,25/05/2013,14:45,Lech Poznan,Podbeskidzie,0.0,2.0,A,1.39,4.3,8.2
POL,26/05/2013,13:30,Pogon Szczecin,Gornik Z.,1.0,0.0,H,2.4,3.03,3.0
POL,26/05/2013,16:00,Jagiellonia,Slask Wroclaw,0.0,3.0,A,3.49,3.34,2.03
POL,27/05/2013,17:30,Zaglebie,Polonia Warszawa,0.0,0.0,D,2.06,3.3,3.4
POL,30/05/2013,17:00,Gornik Z.,Wisla,0.0,1.0,A,2.13,3.11,3.47
POL,30/05/2013,17:00,Podbeskidzie,Pogon Szczecin,2.0,1.0,H,1.94,3.36,3.82
POL,30/05/2013,17:00,Polonia Warszawa,Piast Gliwice,1.0,1.0,D,2.63,3.21,2.61
POL,30/05/2013,17:00,Ruch,Legia,0.0,0.0,D,3.58,3.32,2.02
POL,30/05/2013,17:00,Slask Wroclaw,Lech Poznan,1.0,1.0,D,2.08,3.27,3.46
POL,30/05/2013,17:00,Zaglebie,Lechia Gdansk,0.0,3.0,A,1.97,3.38,3.67
POL,30/05/2013,17:45,GKS Belchatow,Jagiellonia,1.0,1.0,D,1.61,3.73,5.91
POL,30/05/2013,17:45,Korona Kielce,Widzew Lodz,0.0,0.0,D,2.17,3.2,3.35
POL,02/06/2013,15:00,Jagiellonia,Ruch,1.0,0.0,H,2.47,3.21,2.73
POL,02/06/2013,15:00,Lech Poznan,Korona Kielce,2.0,0.0,H,1.54,3.81,5.88
POL,02/06/2013,15:00,Lechia Gdansk,Gornik Z.,0.0,2.0,A,2.13,3.26,3.29
POL,02/06/2013,15:00,Legia,Slask Wroclaw,5.0,0.0,H,1.81,3.55,4.08
POL,02/06/2013,15:00,Piast Gliwice,GKS Belchatow,2.0,3.0,A,2.39,3.17,2.86
POL,02/06/2013,15:00,Pogon Szczecin,Polonia Warszawa,3.0,1.0,H,1.63,3.6,5.19
POL,02/06/2013,15:00,Widzew Lodz,Podbeskidzie,1.0,2.0,A,3.7,3.35,1.96
POL,02/06/2013,15:00,Wisla,Zaglebie,0.0,1.0,A,1.85,3.41,3.99
POL,19/07/2013,17:00,Zaglebie,Pogon Szczecin,0.0,2.0,A,1.81,3.36,4.47
POL,19/07/2013,19:30,Wisla,Gornik Z.,0.0,0.0,D,2.32,3.07,3.15
POL,20/07/2013,14:30,Zawisza,Jagiellonia,0.0,1.0,A,2.18,3.15,3.32
POL,20/07/2013,17:00,Legia,Widzew Lodz,5.0,1.0,H,1.31,4.68,9.83
POL,21/07/2013,14:30,Korona Kielce,Slask Wroclaw,0.0,0.0,D,2.46,3.11,2.87
POL,21/07/2013,17:00,Cracovia,Piast Gliwice,2.0,3.0,A,2.56,3.11,2.74
POL,21/07/2013,19:30,Ruch,Lech Poznan,1.0,1.0,D,4.02,3.25,1.92
POL,22/07/2013,17:00,Lechia Gdansk,Podbeskidzie,2.0,2.0,D,1.96,3.33,3.75
POL,26/07/2013,17:00,Ruch,Lechia Gdansk,1.0,1.0,D,2.29,3.17,3.09
POL,26/07/2013,19:30,Widzew Lodz,Zawisza,2.0,1.0,H,2.49,3.15,2.8
POL,27/07/2013,17:00,Podbeskidzie,Gornik Z.,1.0,2.0,A,2.88,3.07,2.49
POL,27/07/2013,19:30,Pogon Szczecin,Legia,0.0,3.0,A,5.01,3.49,1.69
POL,28/07/2013,14:30,Piast Gliwice,Zaglebie,2.0,1.0,H,2.31,3.12,3.09
POL,28/07/2013,17:00,Slask Wroclaw,Jagiellonia,2.0,3.0,A,1.78,3.46,4.45
POL,28/07/2013,19:30,Lech Poznan,Cracovia,1.0,1.0,D,1.36,4.28,9.13
POL,29/07/2013,17:00,Korona Kielce,Wisla,2.0,3.0,A,2.23,3.11,3.28
POL,02/08/2013,17:00,Cracovia,Ruch,2.0,1.0,H,2.48,3.14,2.83
POL,02/08/2013,19:30,Zawisza,Pogon Szczecin,1.0,1.0,D,2.18,3.21,3.3
POL,03/08/2013,17:00,Widzew Lodz,Korona Kielce,2.0,1.0,H,2.82,3.12,2.51
POL,03/08/2013,19:30,Legia,Podbeskidzie,4.0,0.0,H,1.28,5.18,10.63
POL,04/08/2013,14:30,Gornik Z.,Piast Gliwice,2.0,1.0,H,2.03,3.31,3.59
POL,04/08/2013,17:00,Slask Wroclaw,Wisla,0.0,0.0,D,2.0,3.34,3.66
POL,04/08/2013,19:30,Zaglebie,Lech Poznan,0.0,0.0,D,3.39,3.22,2.12
POL,05/08/2013,17:00,Lechia Gdansk,Jagiellonia,2.0,0.0,H,2.15,3.22,3.36
