Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,FTR,team_elo,opp_elo,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_shots,opp_shots,team_shots_target,opp_shots_target,AvgH,AvgD,AvgA
2,2122,20210910,20,4,209,206,0,1501,1516,0.0,0.0,5,5,2.21,3.79,8.93,12.57,4.5,4.57,3.4,3.26,2.24
1,2122,20210911,12,5,102,336,0,1473,1585,0.0,0.0,2,0,1.58,5.5,7.08,12.17,1.75,6.08,4.25,3.44,1.95
3,2122,20210911,14,5,123,347,2,1409,1441,0.0,0.0,3,6,3.0,0.0,12.11,8.0,3.89,3.44,1.83,3.83,4.23
0,2122,20210911,14,5,142,130,1,1497,1467,0.0,0.0,7,3,5.0,3.75,12.0,15.83,5.75,4.33,2.14,3.7,3.25
0,2122,20210911,14,5,159,363,2,1393,1441,0.0,0.0,1,0,0.58,5.5,12.0,12.58,3.08,4.08,5.52,4.29,1.59
0,2122,20210911,14,5,173,215,2,1443,1448,0.0,0.0,4,3,1.33,3.75,9.83,14.17,5.08,5.25,2.03,3.8,3.46
0,2122,20210911,14,5,204,108,2,1608,1567,0.0,0.0,7,3,5.0,3.75,13.75,18.92,5.08,7.83,3.11,3.84,2.17
0,2122,20210911,14,5,342,35,1,1505,1440,0.0,0.0,5,7,3.83,0.58,10.67,8.5,5.58,1.67,1.73,3.94,4.69
1,2122,20210911,15,5,27,242,0,1616,1445,0.0,0.0,0,9,0.0,0.0,7.92,9.67,2.0,2.42,1.52,4.48,6.4
1,2122,20210911,15,5,62,65,2,1437,1546,0.0,0.0,5,3,2.33,2.5,10.42,13.67,2.58,4.25,2.86,3.14,2.69
1,2122,20210911,15,5,201,217,2,1431,1688,0.0,0.0,6,3,3.75,4.75,7.67,20.25,2.83,6.5,5.7,4.22,1.6
1,2122,20210911,15,5,218,238,0,1522,1528,0.0,0.0,7,7,4.33,1.0,13.17,11.42,4.58,3.17,1.2,7.27,14.77
1,2122,20210911,15,5,308,359,1,1398,1484,0.0,0.0,2,1,1.58,3.5,13.33,12.17,4.25,6.25,2.89,3.46,2.47
1,2122,20210911,15,5,354,364,2,1347,1463,0.0,0.0,3,9,0.75,0.0,10.33,18.83,2.92,5.25,3.36,3.19,2.33
2,2122,20210911,16,5,262,91,0,1653,1473,0.0,0.0,12,2,6.43,3.14,12.93,17.14,5.07,6.0,1.26,6.08,10.92
1,2122,20210911,17,5,87,30,0,1566,1470,0.0,0.0,7,4,3.5,2.75,13.08,9.0,4.42,3.25,1.3,5.46,11.28
4,2122,20210911,17,5,203,346,1,1444,1407,0.0,0.0,2,6,0.83,3.0,8.17,11.92,2.08,3.58,2.1,3.44,3.6
3,2122,20210911,17,5,237,181,0,1580,1626,0.0,0.0,6,4,4.33,0.44,12.44,16.0,6.22,5.11,2.43,3.47,2.89
0,2122,20210911,17,5,280,44,2,1596,1625,0.0,0.0,3,1,1.75,5.0,17.42,18.08,5.0,7.0,2.99,3.87,2.22
3,2122,20210911,19,5,31,137,2,1482,1523,0.0,0.0,4,3,2.33,3.0,14.33,10.44,2.56,7.44,1.58,4.21,5.69
