Div,Date,Time,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_hist_vs,team_form_team,team_form_opp,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
2,19000101,0,23,26,17,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,47,18,77,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,61,103,35,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,84,77,36,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,114,30,31,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,123,105,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,124,32,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,126,75,39,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,147,36,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,167,13,37,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,138,137,9,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,13,124,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,26,47,45,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
2,19000101,0,30,23,19,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7268245567610476,3.932667372320719,4.152701772955808
