Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,Ref_ID,FTR,FTR2,team_elo,opp_elo,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_avg_goals_for,team_avg_goals_against,opp_avg_goals_for,opp_avg_goals_against,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
0,1920,20190803,19,5,250,77,74,0,0,1497,1364,0.0,0.0,3,3,3.0,0.0,1.0,2.0,2.0,0.0,8.0,13.0,6.0,5.0,1.0,1.0,2.21,3.56,3.01
0,1920,20190803,19,5,222,138,74,0,0,1509,1483,0.0,0.0,3,0,3.0,3.0,0.0,2.0,1.0,2.0,10.0,10.0,5.0,2.0,1.0,1.0,4.06,3.68,1.83
10,1920,20190803,19,5,345,257,74,1,1,1452,1667,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38,4.84,1.39
10,1920,20190803,19,5,350,365,74,0,0,1324,1339,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,3.73,3.87
10,1920,20190804,11,6,162,160,74,2,2,1416,1418,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02,3.79,3.31
2,1920,20190804,12,6,161,332,74,1,1,1461,1449,0.0,0.0,3,0,3.0,3.0,1.0,3.0,1.0,2.0,9.0,14.0,6.0,7.0,1.0,1.0,3.42,3.4,2.09
12,1920,20190804,13,6,184,284,59,2,2,1327,1782,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,3.92,1.62
0,1920,20190804,13,6,140,116,74,0,0,1515,1380,0.0,0.0,1,3,1.0,0.0,1.0,1.0,4.0,1.0,5.0,12.0,4.0,3.0,1.0,1.0,1.38,4.84,7.32
10,1920,20190804,13,6,127,321,74,1,1,1573,1495,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,6.12,9.5
2,1920,20190804,14,6,95,166,74,0,0,1525,1480,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,8.0,21.0,4.0,3.0,1.0,1.0,2.45,3.46,2.71
2,1920,20190804,14,6,111,369,74,0,0,1415,1384,0.0,0.0,3,3,3.0,0.0,0.0,2.0,2.0,1.0,12.0,16.0,7.0,4.0,1.0,1.0,2.19,3.24,3.34
12,1920,20190804,15,6,2,159,61,0,0,1441,1467,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,3.37,4.09
10,1920,20190804,15,6,96,349,74,2,2,1335,1535,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,3.61,2.08
4,1920,20190804,16,6,62,197,12,2,2,1247,1523,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,3.32,2.36
0,1920,20190804,17,6,234,16,74,1,1,1396,1539,0.0,0.0,3,3,3.0,0.0,0.0,1.0,2.0,1.0,10.0,15.0,6.0,6.0,1.0,1.0,3.35,3.44,2.1
0,1920,20190804,19,6,22,366,74,0,0,1564,1351,0.0,0.0,3,3,3.0,0.0,1.0,4.0,3.0,1.0,14.0,7.0,8.0,2.0,1.0,1.0,1.34,5.02,8.17
10,1920,20190804,19,6,1,129,74,0,0,1650,1402,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,6.12,9.8
4,1920,20190805,19,0,167,98,36,2,2,1314,1293,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,3.34,3.35
2,1920,20190805,19,0,247,154,74,2,2,1444,1510,0.0,0.0,3,1,3.0,1.0,0.0,1.0,1.0,1.0,5.0,24.0,2.0,7.0,1.0,1.0,2.53,3.25,2.75
6,1920,20190805,19,0,67,209,74,2,2,1341,1452,0.0,0.0,1,0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,13.0,0.0,4.0,1.0,1.0,2.32,2.92,3.36
5,1920,20190809,19,4,229,212,74,2,2,1614,1614,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,3.4,2.43
6,1920,20190809,19,4,4,67,74,2,2,1411,1359,0.0,0.0,4,4,3.44,0.44,1.0,1.5,1.0,0.5,11.44,5.22,4.56,2.22,1.0,1.0,2.56,2.91,2.97
6,1920,20190809,19,4,78,149,74,1,1,1408,1445,0.0,0.0,6,4,4.33,0.44,0.5,0.5,2.0,1.5,11.22,6.11,3.33,1.33,1.0,1.0,2.54,2.86,3.06
6,1920,20190809,19,4,153,251,74,0,0,1457,1458,0.0,0.0,1,4,0.44,0.44,2.5,1.5,0.5,0.0,16.44,11.0,4.67,3.56,1.0,1.0,1.84,3.19,4.69
6,1920,20190809,19,4,194,352,74,2,2,1449,1369,0.0,0.0,0,4,0.0,1.0,1.5,1.0,0.5,1.0,12.67,7.89,3.44,0.56,1.0,1.0,2.37,3.0,3.16
6,1920,20190809,19,4,236,209,74,1,1,1395,1449,0.0,0.0,2,0,1.44,4.33,0.5,0.5,1.0,2.0,14.11,9.11,4.89,2.89,1.0,1.0,3.07,3.01,2.41
6,1920,20190809,19,4,243,81,74,0,0,1339,1262,0.0,0.0,1,4,1.0,1.0,0.5,1.5,0.0,1.5,6.22,10.44,2.0,3.33,1.0,1.0,2.15,2.97,3.72
6,1920,20190809,19,4,294,265,74,0,0,1417,1465,0.0,0.0,4,4,2.33,1.0,1.0,0.0,0.5,2.0,10.0,6.33,1.33,2.0,1.0,1.0,2.59,2.75,3.11
6,1920,20190809,19,4,313,35,74,0,0,1426,1478,0.0,0.0,2,3,1.44,3.0,0.5,0.5,0.0,2.0,8.22,18.67,0.56,5.11,1.0,1.0,2.92,2.99,2.54
6,1920,20190809,19,4,344,193,74,2,2,1492,1414,0.0,0.0,3,2,1.33,1.44,0.5,2.0,1.5,1.5,11.78,13.11,3.89,3.56,1.0,1.0,2.26,2.99,3.4
0,1920,20190809,19,4,16,222,74,1,1,1537,1510,0.0,0.0,1,0,1.0,4.33,0.5,1.0,1.5,1.5,11.67,10.56,4.33,5.0,1.0,1.0,1.79,3.81,4.07
10,1920,20190809,19,4,321,350,74,0,0,1503,1315,0.0,0.0,1,0,1.0,3.0,2.0,2.0,1.0,3.0,13.0,11.0,5.0,6.0,1.0,1.0,1.99,3.7,3.47
3,1920,20190809,20,4,205,244,1,0,0,1638,1511,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,8.75,19.83
11,1920,20190809,20,4,277,43,74,1,1,1369,1420,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,3.38,3.78
3,1920,20190810,12,5,372,218,79,2,2,1529,1718,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.84,6.28,1.25
4,1920,20190810,12,5,197,245,7,1,1,1516,1361,0.0,0.0,3,3,3.0,0.0,1.0,3.0,2.0,1.0,18.0,15.0,4.0,4.0,1.0,1.0,1.5,4.18,6.67
12,1920,20190810,12,5,233,76,55,2,2,1390,1656,0.0,0.0,1,0,1.0,3.0,0.0,0.0,0.0,7.0,10.0,24.0,5.0,11.0,1.0,1.0,8.68,5.07,1.32
12,1920,20190810,14,5,324,206,87,1,1,1417,1397,0.0,0.0,0,1,0.0,1.0,7.0,0.0,0.0,0.0,2.0,9.0,0.0,5.0,1.0,1.0,2.36,3.14,3.06
6,1920,20190810,14,5,86,200,74,1,1,1530,1534,0.0,0.0,6,0,4.33,4.33,2.0,1.0,1.0,1.5,8.78,14.0,5.89,5.56,1.0,1.0,2.39,2.9,3.23
3,1920,20190810,15,5,56,310,81,1,1,1445,1345,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,3.53,3.83
3,1920,20190810,15,5,64,316,21,0,0,1406,1366,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,3.22,2.78
3,1920,20190810,15,5,94,117,78,1,1,1421,1471,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.13,3.27,2.4
3,1920,20190810,15,5,368,61,0,2,2,1491,1471,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,3.41,4.26
4,1920,20190810,15,5,49,62,35,1,1,1355,1251,0.0,0.0,3,3,3.0,0.0,0.0,1.0,3.0,1.0,1.0,13.0,1.0,3.0,1.0,1.0,2.59,3.18,2.8
4,1920,20190810,15,5,70,211,10,0,0,1412,1376,0.0,0.0,0,1,0.0,1.0,3.0,2.0,3.0,3.0,13.0,12.0,4.0,4.0,1.0,1.0,1.88,3.45,4.3
4,1920,20190810,15,5,80,330,9,0,0,1517,1331,0.0,0.0,3,3,3.0,0.0,1.0,2.0,2.0,1.0,9.0,13.0,5.0,1.0,1.0,1.0,3.31,3.35,2.19
4,1920,20190810,15,5,98,335,15,1,1,1298,1431,0.0,0.0,3,0,3.0,3.0,1.0,2.0,1.0,2.0,11.0,19.0,3.0,8.0,1.0,1.0,2.23,3.31,3.27
4,1920,20190810,15,5,134,50,31,0,0,1365,1328,0.0,0.0,0,3,0.0,0.0,1.0,0.0,2.0,1.0,15.0,14.0,4.0,2.0,1.0,1.0,1.76,3.86,4.41
4,1920,20190810,15,5,169,285,32,0,0,1379,1349,0.0,0.0,0,3,0.0,0.0,2.0,1.0,3.0,1.0,12.0,13.0,4.0,4.0,1.0,1.0,2.06,3.49,3.52
4,1920,20190810,15,5,224,58,39,2,2,1360,1509,0.0,0.0,1,3,1.0,0.0,3.0,3.0,1.0,0.0,17.0,15.0,8.0,3.0,1.0,1.0,2.4,3.32,2.94
4,1920,20190810,15,5,279,374,37,0,0,1395,1362,0.0,0.0,0,0,0.0,3.0,1.0,0.0,2.0,3.0,5.0,12.0,0.0,4.0,1.0,1.0,2.15,3.29,3.48
4,1920,20190810,15,5,280,167,28,1,1,1437,1319,0.0,0.0,3,3,3.0,0.0,1.0,2.0,2.0,1.0,5.0,14.0,3.0,2.0,1.0,1.0,2.67,3.23,2.68
4,1920,20190810,15,5,311,39,19,0,0,1348,1436,0.0,0.0,3,0,3.0,3.0,1.0,3.0,0.0,1.0,13.0,17.0,5.0,4.0,1.0,1.0,2.22,3.28,3.32
4,1920,20190810,15,5,371,226,29,1,1,1361,1401,0.0,0.0,3,0,3.0,3.0,1.0,2.0,0.0,1.0,12.0,8.0,3.0,3.0,1.0,1.0,1.9,3.48,4.1
12,1920,20190810,15,5,155,184,84,0,0,1321,1311,0.0,0.0,0,3,0.0,0.0,3.0,0.0,2.0,1.0,9.0,5.0,5.0,3.0,1.0,1.0,4.44,3.55,1.78
12,1920,20190810,15,5,159,296,68,1,1,1463,1376,0.0,0.0,0,0,0.0,3.0,3.0,2.0,0.0,3.0,7.0,12.0,3.0,6.0,1.0,1.0,1.91,3.43,3.98
5,1920,20190810,16,5,221,290,74,2,2,1493,1436,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,3.71,5.67
11,1920,20190810,16,5,303,122,74,2,2,1430,1459,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,3.18,3.77
3,1920,20190810,17,5,340,29,20,0,0,1544,1467,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,5.53,10.51
0,1920,20190810,17,5,250,87,74,2,2,1488,1656,0.0,0.0,6,0,4.33,4.33,2.0,1.5,1.5,3.5,9.67,20.0,6.56,15.33,1.0,1.0,6.11,4.65,1.45
10,1920,20190810,17,5,151,345,74,2,2,1423,1466,0.0,0.0,3,1,3.0,1.0,0.0,1.0,1.0,1.0,10.0,3.0,4.0,2.0,1.0,1.0,1.95,3.55,3.72
10,1920,20190810,18,5,5,120,74,0,0,1765,1377,0.0,0.0,1,3,1.0,0.0,2.0,2.0,1.0,0.0,26.0,7.0,9.0,2.0,1.0,1.0,1.08,10.52,27.05
5,1920,20190810,19,5,18,55,74,0,0,1381,1372,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,3.14,3.24
5,1920,20190810,19,5,60,341,74,1,1,1394,1513,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,3.23,3.09
5,1920,20190810,19,5,99,323,74,2,2,1268,1437,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,3.34,2.11
5,1920,20190810,19,5,230,291,74,2,2,1444,1513,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.18,3.3
5,1920,20190810,19,5,240,14,74,0,0,1488,1375,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18,2.98,3.87
0,1920,20190810,19,5,77,186,74,2,2,1348,1357,0.0,0.0,0,4,0.0,1.0,1.5,1.5,1.0,1.5,10.78,7.44,4.44,4.0,1.0,1.0,2.52,3.52,2.59
0,1920,20190810,19,5,116,366,74,1,1,1378,1352,0.0,0.0,0,6,0.0,0.0,3.5,2.5,2.0,2.5,9.78,8.67,4.11,4.22,1.0,1.0,1.87,3.69,3.85
0,1920,20190810,19,5,138,367,74,2,2,1463,1407,0.0,0.0,3,6,1.33,0.0,2.5,1.0,1.0,2.0,9.44,4.78,3.67,1.44,1.0,1.0,1.23,6.29,10.57
