Div,Season,Date,Time,DayOTW,Team_ID,Opp_ID,FTR,team_elo,opp_elo,team_xg,opp_xg,team_hist_vs,opp_hist_vs,team_points,opp_points,team_form,opp_form,team_avg_goals_for,team_avg_goals_against,opp_avg_goals_for,opp_avg_goals_against,team_shots,opp_shots,team_shots_target,opp_shots_target,team_avg_games,opp_avg_games,AvgH,AvgD,AvgA
1,2122,20210823,20,0,23,11,0,1458,1397,0.61,0.105,0.0,0.0,3,0,3.0,3.0,2.0,4.0,0.0,1.0,8.0,9.0,9.0,5.0,1.0,1.0,2.58,3.44,2.75
4,2122,20210823,21,0,89,44,1,1460,1408,0.61,0.073,0.0,0.0,1,3,1.0,0.0,0.0,0.0,2.0,1.0,14.0,10.0,1.0,2.0,1.0,1.0,2.66,3.19,2.8
3,2122,20210827,17,4,109,114,0,1424,1471,0.807,0.208,0.0,0.0,1,3,1.0,0.0,2.0,2.0,0.0,2.0,11.0,8.0,6.0,4.0,1.0,1.0,1.77,3.67,4.95
0,2122,20210827,19,4,48,64,0,1630,1422,0.918,0.369,0.0,0.0,3,1,1.33,2.33,3.5,1.5,3.0,1.0,15.89,10.56,4.22,5.22,1.0,1.0,1.44,5.23,6.51
3,2122,20210827,19,4,115,65,2,1347,1629,0.181,0.661,0.0,0.0,0,0,0.0,3.0,2.0,3.0,0.0,4.0,12.0,17.0,4.0,8.0,1.0,1.0,5.58,4.17,1.61
4,2122,20210827,19,4,79,52,0,1488,1408,0.53,0.208,0.0,0.0,4,2,3.44,1.44,0.5,1.0,0.0,0.0,9.33,12.22,2.0,3.0,1.0,1.0,2.64,2.95,3.08
2,2122,20210827,20,4,86,76,2,1377,1526,0.449,0.369,0.0,0.0,4,5,2.0,1.25,1.33,0.33,1.33,2.33,6.58,15.67,3.0,5.75,1.0,1.0,4.68,3.98,1.73
4,2122,20210827,21,4,111,26,0,1455,1400,0.37,0.208,0.0,0.0,4,6,2.33,0.0,1.0,0.5,2.5,0.5,11.78,9.89,4.78,4.0,1.0,1.0,1.78,3.58,5.02
1,2122,20210828,12,5,14,0,0,1695,1585,0.807,0.073,0.0,0.0,3,6,3.0,0.0,3.0,0.0,1.0,1.0,16.89,13.11,4.0,3.44,1.0,1.0,1.26,6.16,11.99
0,2122,20210828,14,5,32,73,2,1371,1567,0.37,0.369,0.0,0.0,1,1,1.0,3.44,0.0,2.0,0.5,2.5,5.33,14.33,0.0,5.11,1.0,1.0,4.75,3.87,1.74
0,2122,20210828,14,5,37,49,1,1498,1477,0.449,0.208,0.0,0.0,2,4,1.44,1.0,0.5,0.5,1.0,2.5,9.44,16.44,2.89,4.11,1.0,1.0,3.41,3.63,2.11
0,2122,20210828,14,5,53,38,0,1458,1399,0.449,0.105,0.0,0.0,3,3,1.33,3.0,3.0,1.5,0.0,1.5,12.22,8.11,3.89,3.22,1.0,1.0,1.88,3.73,4.11
0,2122,20210828,14,5,78,61,0,1475,1466,0.751,0.105,0.0,0.0,3,4,1.33,1.0,1.5,0.0,1.0,3.0,12.0,14.67,2.56,4.56,1.0,1.0,1.71,3.97,4.9
0,2122,20210828,14,5,105,55,2,1444,1553,0.61,0.566,0.0,0.0,3,1,1.33,3.44,4.5,0.5,0.5,1.0,19.44,10.67,9.44,4.89,1.0,1.0,2.23,3.53,3.22
1,2122,20210828,15,5,1,3,1,1569,1550,0.449,0.149,0.0,0.0,3,1,3.0,2.33,2.5,1.0,0.0,1.0,10.44,11.33,2.0,3.0,1.0,1.0,2.0,3.57,3.84
1,2122,20210828,15,5,4,8,2,1521,1440,0.298,0.369,0.0,0.0,6,1,4.33,2.33,1.5,1.0,1.5,2.5,13.44,15.67,5.22,7.11,1.0,1.0,2.35,3.25,3.27
1,2122,20210828,15,5,16,20,1,1542,1338,0.449,0.466,0.0,0.0,0,4,0.0,1.0,2.0,2.0,1.0,2.0,12.56,7.11,1.89,3.0,1.0,1.0,2.52,3.47,2.82
1,2122,20210828,15,5,17,11,2,1462,1415,0.37,0.208,0.0,0.0,0,3,0.0,1.33,2.5,1.5,0.5,2.5,6.78,6.78,1.33,2.78,1.0,1.0,4.34,3.55,1.9
1,2122,20210828,15,5,23,7,1,1457,1436,0.37,0.149,0.0,0.0,6,4,4.33,1.0,3.0,2.5,0.0,1.5,10.78,5.67,7.89,1.56,1.0,1.0,1.58,4.02,6.29
2,2122,20210828,16,5,88,40,0,1556,1468,0.449,0.281,0.0,0.0,4,5,3.44,1.58,0.0,2.0,1.67,1.0,11.44,11.0,4.78,4.25,1.0,1.0,1.65,3.98,5.26
4,2122,20210828,16,5,44,30,2,1395,1476,0.137,0.149,0.0,0.0,1,2,1.0,1.44,0.5,1.0,0.5,0.5,6.67,12.89,0.89,5.22,1.0,1.0,2.48,3.2,3.05
1,2122,20210828,17,5,12,6,1,1614,1471,0.61,0.208,0.0,0.0,6,0,4.33,4.33,1.0,1.5,1.0,1.5,23.44,18.0,8.56,5.44,1.0,1.0,2.5,3.33,2.95
0,2122,20210828,17,5,35,63,0,1634,1355,0.53,0.208,0.0,0.0,4,6,3.44,0.0,2.0,1.5,1.5,2.0,18.89,11.56,7.78,4.44,1.0,1.0,1.18,7.96,14.67
3,2122,20210828,17,5,29,39,1,1539,1534,0.298,0.105,0.0,0.0,3,0,3.0,3.0,1.0,2.0,2.0,3.0,6.0,18.0,2.0,7.0,1.0,1.0,1.33,5.59,8.73
3,2122,20210828,17,5,68,102,0,1601,1364,0.807,0.149,0.0,0.0,3,1,3.0,1.0,1.0,3.0,2.0,2.0,8.0,13.0,5.0,6.0,1.0,1.0,1.36,5.23,8.74
4,2122,20210828,18,5,50,100,1,1378,1493,0.37,0.369,0.0,0.0,1,0,0.44,4.33,0.5,0.0,0.5,1.5,5.78,14.33,2.0,5.22,1.0,1.0,5.24,3.46,1.77
4,2122,20210828,18,5,101,72,0,1593,1489,0.234,0.073,0.0,0.0,3,2,3.0,1.44,2.5,1.0,2.0,2.0,12.11,9.78,5.78,3.56,1.0,1.0,1.57,4.2,5.94
3,2122,20210828,19,5,54,106,0,1520,1464,0.61,0.105,0.0,0.0,0,3,0.0,0.0,3.0,1.0,2.0,1.0,11.0,19.0,8.0,8.0,1.0,1.0,2.21,3.45,3.31
3,2122,20210828,19,5,66,51,2,1537,1436,0.53,0.208,0.0,0.0,1,3,1.0,0.0,2.0,2.0,3.0,1.0,11.0,16.0,4.0,5.0,1.0,1.0,1.26,6.25,11.51
2,2122,20210828,20,5,80,103,0,1563,1491,0.449,0.566,0.0,0.0,4,3,2.33,1.83,2.0,2.5,1.33,1.33,14.89,13.17,4.22,3.92,1.0,1.0,1.74,3.82,4.77
4,2122,20210828,21,5,36,92,2,1495,1632,0.53,0.208,0.0,0.0,2,1,1.44,2.33,1.0,1.0,3.5,2.0,13.33,19.0,4.33,5.89,1.0,1.0,4.21,3.84,1.84
